"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","AIREMISSION","CO2","TONNE_CAP","A","2007",18.23,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","2008",18.02,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","2009",17.95,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","2010",17.78,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","2011",17.45,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","2012",17.18,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","2013",16.58,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","2014",15.93,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","2015",15.97,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","2016",16.14,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","2017",15.97,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","2018",15.67,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","2019",15.35,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","2020",14.57,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","2021",14.71,
"AUT","AIREMISSION","CO2","TONNE_CAP","A","2007",8.33,
"AUT","AIREMISSION","CO2","TONNE_CAP","A","2008",8.24,
"AUT","AIREMISSION","CO2","TONNE_CAP","A","2009",7.51,
"AUT","AIREMISSION","CO2","TONNE_CAP","A","2010",8.17,
"AUT","AIREMISSION","CO2","TONNE_CAP","A","2011",7.94,
"AUT","AIREMISSION","CO2","TONNE_CAP","A","2012",7.53,
"AUT","AIREMISSION","CO2","TONNE_CAP","A","2013",7.56,
"AUT","AIREMISSION","CO2","TONNE_CAP","A","2014",7.07,
"AUT","AIREMISSION","CO2","TONNE_CAP","A","2015",7.13,
"AUT","AIREMISSION","CO2","TONNE_CAP","A","2016",7.09,
"AUT","AIREMISSION","CO2","TONNE_CAP","A","2017",7.3,
"AUT","AIREMISSION","CO2","TONNE_CAP","A","2018",6.94,
"AUT","AIREMISSION","CO2","TONNE_CAP","A","2019",7.07,
"AUT","AIREMISSION","CO2","TONNE_CAP","A","2020",6.43,
"AUT","AIREMISSION","CO2","TONNE_CAP","A","2021",6.72,
"BEL","AIREMISSION","CO2","TONNE_CAP","A","2007",9.49,
"BEL","AIREMISSION","CO2","TONNE_CAP","A","2008",9.68,
"BEL","AIREMISSION","CO2","TONNE_CAP","A","2009",9,
"BEL","AIREMISSION","CO2","TONNE_CAP","A","2010",9.57,
"BEL","AIREMISSION","CO2","TONNE_CAP","A","2011",8.49,
"BEL","AIREMISSION","CO2","TONNE_CAP","A","2012",8.34,
"BEL","AIREMISSION","CO2","TONNE_CAP","A","2013",8.43,
"BEL","AIREMISSION","CO2","TONNE_CAP","A","2014",7.83,
"BEL","AIREMISSION","CO2","TONNE_CAP","A","2015",8.23,
"BEL","AIREMISSION","CO2","TONNE_CAP","A","2016",8.1,
"BEL","AIREMISSION","CO2","TONNE_CAP","A","2017",7.94,
"BEL","AIREMISSION","CO2","TONNE_CAP","A","2018",7.96,
"BEL","AIREMISSION","CO2","TONNE_CAP","A","2019",7.85,
"BEL","AIREMISSION","CO2","TONNE_CAP","A","2020",7.17,
"BEL","AIREMISSION","CO2","TONNE_CAP","A","2021",7.48,
"CAN","AIREMISSION","CO2","TONNE_CAP","A","2007",17.03,
"CAN","AIREMISSION","CO2","TONNE_CAP","A","2008",16.24,
"CAN","AIREMISSION","CO2","TONNE_CAP","A","2009",15.24,
"CAN","AIREMISSION","CO2","TONNE_CAP","A","2010",15.48,
"CAN","AIREMISSION","CO2","TONNE_CAP","A","2011",15.69,
"CAN","AIREMISSION","CO2","TONNE_CAP","A","2012",15.48,
"CAN","AIREMISSION","CO2","TONNE_CAP","A","2013",15.59,
"CAN","AIREMISSION","CO2","TONNE_CAP","A","2014",15.57,
"CAN","AIREMISSION","CO2","TONNE_CAP","A","2015",15.38,
"CAN","AIREMISSION","CO2","TONNE_CAP","A","2016",15.18,
"CAN","AIREMISSION","CO2","TONNE_CAP","A","2017",15.29,
"CAN","AIREMISSION","CO2","TONNE_CAP","A","2018",15.38,
"CAN","AIREMISSION","CO2","TONNE_CAP","A","2019",14.81,
"CAN","AIREMISSION","CO2","TONNE_CAP","A","2020",13.36,
"CAN","AIREMISSION","CO2","TONNE_CAP","A","2021",13.83,
"CZE","AIREMISSION","CO2","TONNE_CAP","A","2007",11.86,
"CZE","AIREMISSION","CO2","TONNE_CAP","A","2008",11.19,
"CZE","AIREMISSION","CO2","TONNE_CAP","A","2009",10.65,
"CZE","AIREMISSION","CO2","TONNE_CAP","A","2010",10.72,
"CZE","AIREMISSION","CO2","TONNE_CAP","A","2011",10.44,
"CZE","AIREMISSION","CO2","TONNE_CAP","A","2012",10.07,
"CZE","AIREMISSION","CO2","TONNE_CAP","A","2013",9.66,
"CZE","AIREMISSION","CO2","TONNE_CAP","A","2014",9.36,
