,Ticker,Company,Sector,Country
0,MMM,3M,Industrials,USA
1,AOS,A. O. Smith,Industrials,USA
2,ABT,Abbott,Health Care,USA
3,ABBV,AbbVie,Health Care,USA
4,ACN,Accenture,Information Technology,USA
5,ATVI,Activision Blizzard,Communication Services,USA
6,ADM,ADM,Consumer Staples,USA
7,ADBE,Adobe Inc.,Information Technology,USA
8,ADP,ADP,Information Technology,USA
9,AAP,Advance Auto Parts,Consumer Discretionary,USA
10,AES,AES Corporation,Utilities,USA
11,AFL,Aflac,Financials,USA
12,A,Agilent Technologies,Health Care,USA
13,APD,Air Products and Chemicals,Materials,USA
14,AKAM,Akamai,Information Technology,USA
15,ALK,Alaska Air Group,Industrials,USA
16,ALB,Albemarle Corporation,Materials,USA
17,ARE,Alexandria Real Estate Equities,Real Estate,USA
18,ALGN,Align Technology,Health Care,USA
19,ALLE,Allegion,Industrials,USA
20,LNT,Alliant Energy,Utilities,USA
21,ALL,Allstate,Financials,USA
22,GOOGL,Alphabet Inc. (Class A),Communication Services,USA
23,GOOG,Alphabet Inc. (Class C),Communication Services,USA
24,MO,Altria,Consumer Staples,USA
25,AMZN,Amazon,Consumer Discretionary,USA
26,AMCR,Amcor,Materials,USA
27,AMD,AMD,Information Technology,USA
28,AEE,Ameren,Utilities,USA
29,AAL,American Airlines Group,Industrials,USA
30,AEP,American Electric Power,Utilities,USA
31,AXP,American Express,Financials,USA
32,AIG,American International Group,Financials,USA
33,AMT,American Tower,Real Estate,USA
34,AWK,American Water Works,Utilities,USA
35,AMP,Ameriprise Financial,Financials,USA
36,ABC,AmerisourceBergen,Health Care,USA
37,AME,Ametek,Industrials,USA
38,AMGN,Amgen,Health Care,USA
39,APH,Amphenol,Information Technology,USA
40,ADI,Analog Devices,Information Technology,USA
41,ANSS,Ansys,Information Technology,USA
42,AON,Aon,Financials,USA
43,APA,APA Corporation,Energy,USA
44,AAPL,Apple Inc.,Information Technology,USA
45,AMAT,Applied Materials,Information Technology,USA
46,APTV,Aptiv,Consumer Discretionary,USA
47,ACGL,Arch Capital Group,Financials,USA
48,ANET,Arista Networks,Information Technology,USA
