,Symbol,beta,profit_margin,pe_ratio,ev/ebita,eps,total_esg,e_esg,s_esg,g_esg,highestControversy
0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
MMM,MMM,0.986396,0.18913999,11.057591,11.635,11.46,33.61,12.33,13.56,7.72,3
AOS,AOS,1.2173,0.12991,19.566877,12.539,3.14,24.2,7.12,10.84,6.24,0
ABT,ABT,0.667596,0.17518999,25.35666,14.616,4.43,24.98,3.03,13.59,8.36,3
ABBV,ABBV,0.623997,0.23188,22.206667,11.653,7.5,27.84,1.12,16.77,9.95,3
ACN,ACN,1.211925,0.11304,24.144394,15.857,11.15,9.71,0.29,4.58,4.83,2
ATVI,ATVI,0.427624,0.22754,36.427227,24.337,2.13,18.94,0.15,12.48,6.31,4
ADM,ADM,0.844109,0.04157,12.278571,10.672,7.0,36.4,18.23,13.16,5.01,3
ADBE,ADBE,1.257183,0.27014,33.010914,22.623,10.08,12.46,1.89,5.93,4.64,1
ADP,ADP,0.864318,0.17933,33.26316,22.044,7.22,13.97,1.07,6.96,5.94,1
AAP,AAP,1.138821,0.04304,19.746155,12.736,7.8,12.97,0.1,9.17,3.7,2
AES,AES,0.972701,-0.02231,,11.946,-0.223,34.15,16.48,11.2,6.47,2
AFL,AFL,0.935704,0.24154,9.491002,8.773,7.78,17.3,0.47,7.26,9.57,2
A,A,1.078663,0.18312,35.32775,23.457,4.18,15.33,0.34,8.65,6.34,1
APD,APD,0.857399,0.17767,30.771826,19.402,10.08,10.81,5.94,1.28,3.59,1
AKAM,AKAM,0.708692,0.14117,27.428114,13.435,3.13,19.63,1.93,10.35,7.35,1
ALB,ALB,1.520404,0.27775,16.80364,13.17,13.19,28.8,15.53,5.54,7.73,2
ARE,ARE,0.947331,0.21697001,44.457832,25.031,3.32,14.78,2.98,6.27,5.54,0
ALLE,ALLE,1.08092,0.1396,22.692465,17.371,4.91,23.59,12.75,4.54,6.3,0
LNT,LNT,0.503591,0.16372,20.730335,14.313,2.67,21.87,10.04,5.65,6.18,1
ALL,ALL,0.636205,-0.00413,44.040497,32.825,3.21,19.22,1.44,7.85,9.94,2
GOOGL,GOOGL,1.069061,0.23746,17.752031,10.975,4.92,24.14,1.66,11.1,11.39,4
MO,MO,0.678409,0.22705999,18.07393,8.46,2.57,23.99,4.66,12.98,6.35,2
AMZN,AMZN,1.194683,0.022550002,76.85715,18.899,1.12,30.28,5.59,14.8,9.89,3
AEE,AEE,0.44611,0.14458999,22.135338,13.153,3.99,29.44,14.11,9.84,5.49,2
AAL,AAL,1.476107,-0.03557,,17.726,-3.671,29.1,11.53,12.31,5.26,2
AEP,AEP,0.422413,0.13081001,20.02697,12.291,4.82,25.81,12.84,7.54,5.43,2
AXP,AXP,1.158004,0.15438,15.062186,,9.97,18.38,0.05,8.37,9.95,2
AIG,AIG,1.200906,0.23158,3.8285885,2.686,16.86,25.32,1.87,9.67,13.79,2
AMT,AMT,0.536278,0.27776,34.301414,24.022,6.37,10.94,2.36,3.56,5.02,1
AWK,AWK,0.526939,0.34575,21.828964,20.676,7.25,27.76,13.1,9.08,5.58,1
AMP,AMP,1.46875,0.1916,13.403421,6.681,23.97,22.61,2.57,7.22,12.82,2
ABC,ABC,0.549928,0.00712,20.79172,10.636,7.97,12.32,1.32,5.64,5.36,3
AME,AME,1.228113,0.18812999,29.415133,19.096,4.89,24.08,8.65,8.51,6.92,1
AMGN,AMGN,0.659574,0.25959,22.086678,12.634,12.46,22.04,0.69,13.46,7.89,3
APH,APH,1.24904,0.14986,26.543919,16.752,2.96,21.58,8.04,5.49,8.04,2
ADI,ADI,1.162715,0.22878,31.83077,14.705,5.2,23.78,10.13,7.74,5.9,0
ANSS,ANSS,1.267959,0.23132999,45.77629,31.032,5.23,13.05,0.86,7.32,4.86,0
APA,APA,3.627833,0.33226,4.0577106,3.08,10.57,38.81,21.98,8.88,7.96,2
AAPL,AAPL,1.27241,0.2531,21.214401,15.88,6.11,16.68,0.65,6.86,9.18,3
AMAT,AMAT,1.571328,0.25305,14.014785,10.393,7.44,11.56,3.84,2.62,5.1,1
APTV,APTV,2.017241,0.02214,86.23684,14.729,1.14,11.68,2.49,3.94,5.24,1
